Lease,Measured Depth (ft),TVD (ft)
OSPREY,0,0
OSPREY,95.1,95.1
OSPREY,153.6,153.6
OSPREY,214.8,214.8
OSPREY,273.1,273.1
OSPREY,333.9,333.9
OSPREY,393,393
OSPREY,454,454
OSPREY,513.6,513.6
OSPREY,576.8,576.8
OSPREY,640,640
OSPREY,703.3,703.3
OSPREY,766.3,766.3
OSPREY,829.5,829.5
OSPREY,892.5,892.5
OSPREY,955.4,955.4
OSPREY,1018.7,1018.7
OSPREY,1081.8,1081.8
OSPREY,1144.9,1144.9
OSPREY,1208,1208
OSPREY,1271.3,1271.3
OSPREY,1334.6,1334.6
OSPREY,1397.7,1397.7
OSPREY,1460.8,1460.8
OSPREY,1523.9,1523.9
OSPREY,1587,1587
OSPREY,1650.3,1650.3
OSPREY,1713.5,1713.5
OSPREY,1776.7,1776.7
OSPREY,1839.9,1839.9
OSPREY,1903,1903
OSPREY,1966.1,1966.1
OSPREY,2029,2029
OSPREY,2092.2,2092.2
OSPREY,2155.5,2155.5
OSPREY,2218.6,2218.6
OSPREY,2281.7,2281.6
OSPREY,2344.7,2344.6
OSPREY,2407.9,2407.8
OSPREY,2471.1,2471
OSPREY,2534.2,2534
OSPREY,2597.4,2597.2
OSPREY,2660.6,2660.4
OSPREY,2723.7,2723.5
OSPREY,2786.8,2786.6
OSPREY,2850,2849.8
OSPREY,2913.3,2913.1
OSPREY,2976.4,2976.2
OSPREY,3039.2,3039
OSPREY,3102.5,3102.3
OSPREY,3165.6,3165.4
OSPREY,3229.2,3229
OSPREY,3292.4,3292.2
OSPREY,6074,6073.3
OSPREY,6137.2,6136.4
OSPREY,6200.4,6199.6
OSPREY,6263.4,6262.6
OSPREY,6326.5,6325.7
OSPREY,6389.8,6389
OSPREY,6453,6452.2
OSPREY,6516.2,6515.3
OSPREY,6579.4,6578.5
OSPREY,6642.6,6641.7
OSPREY,6705.9,6705
OSPREY,6769.1,6768.2
OSPREY,6832.2,6831.2
OSPREY,6895.3,6894.3
OSPREY,6958.5,6957.5
OSPREY,7021.7,7020.6
OSPREY,7084.9,7083.8
OSPREY,7108.4,7107.3
OSPREY,7136,7134.9
OSPREY,7167,7165.8
OSPREY,7199,7197.6
OSPREY,7231,7229.1
OSPREY,7262,7259.2
OSPREY,7294,7289.5
OSPREY,7326,7319.2
OSPREY,7357,7347
OSPREY,7389,7374.8
OSPREY,7421,7401.5
OSPREY,7452,7426.4
OSPREY,7484,7451.2
OSPREY,7506,7467.7
OSPREY,7585,7521.3
OSPREY,7616,7539.2
OSPREY,7648,7555.7
OSPREY,7680,7570.4
OSPREY,7712,7583.7
OSPREY,7744,7595.7
OSPREY,7775,7606.2
OSPREY,7807,7615.7
OSPREY,7839,7623.5
OSPREY,7871,7629.7
OSPREY,7902,7634.2
OSPREY,7934,7637.3
OSPREY,7966,7638.6
OSPREY,7998,7638.1
OSPREY,8030,7636.9
OSPREY,8093,7633.6
OSPREY,8157,7628.6
OSPREY,8221,7623.4
OSPREY,8284,7619
OSPREY,8348,7614.7
OSPREY,8411,7610.9
OSPREY,8475,7607.2
OSPREY,8538,7602.9
OSPREY,8602,7597.5
OSPREY,8665,7591.9
OSPREY,8729,7586.3
OSPREY,8792,7581.6
OSPREY,8855,7578.9
OSPREY,8918,7578.2
OSPREY,8981,7578.4
OSPREY,9045,7578.6
OSPREY,9108,7579.6
OSPREY,9172,7580.8
OSPREY,9234,7581.3
OSPREY,9298,7581.5
OSPREY,9361,7581.7
OSPREY,9425,7582.3
OSPREY,9488,7582.9
OSPREY,9552,7583.7
OSPREY,9616,7584.2
OSPREY,9679,7584.6
OSPREY,9743,7584.3
OSPREY,9806,7582.9
OSPREY,9868,7580.9
OSPREY,9932,7578.2
OSPREY,9994,7575.6
OSPREY,10057,7573.3
OSPREY,10120,7570.5
OSPREY,10184,7567.4
OSPREY,10247,7564.3
OSPREY,10310,7561
OSPREY,10374,7557.8
OSPREY,10437,7554.6
OSPREY,10501,7551
OSPREY,10564,7547.3
OSPREY,10628,7543.4
OSPREY,10691,7539.3
OSPREY,10755,7534.8
OSPREY,10819,7531.5
OSPREY,10882,7530
OSPREY,10946,7528.7
OSPREY,11009,7527
OSPREY,11073,7524.8
OSPREY,11136,7522.4
OSPREY,11200,7520.4
OSPREY,11263,7518.4
OSPREY,11327,7515
OSPREY,11391,7510.5
OSPREY,11454,7505.8
OSPREY,11518,7501.6
OSPREY,11582,7498.5
OSPREY,11645,7495.6
OSPREY,11709,7491.9
OSPREY,11772,7488.7
OSPREY,11834,7487
OSPREY,11898,7486.2
OSPREY,11962,7485.5
OSPREY,12026,7484.4
OSPREY,12089,7482.9
